N,question,answer,relevance
744,кем может работать девушка на телевидении без опыта?,"все зависит от человека, может маркетологом, а может и ведущей.",1
745,"поеду в командировку на служебном авто, подскажите пожалуйста какие документы нужны для оформления командировачных?","бухгалтерии нет? командировочное, путевой лист, доки на авто. деньги.",1
746,любишь колотушки? ,надо запомнить,0
747,"человеческие ценности относительны. как человек выбирает что назвать добром, а что злом?","относительно окружающего, добро способствует благоденствию, зло разрушению, гибели.",1
748,"удачи, что ли пожелай",зачем же? сжечь решил меня?,0
749,"аромат у капитана блэка офигенный. сразу отличаю как мимо кто по улице идет, что это именно он.",да. он топ,1
750,запорожье это вапще котел из разных народов. там чистых украинцев и русских нет вапще,зато бандеры там решают,1
751,почему мужчины так яростно хвалятся своими размерами гениталий?,страшит неизвестность.,0
752,"чего это, может я судьбу свою жду",ты уже меня дождалась,1
753,у нас всего. жилых ,ну платить за стикеры врядли ктото будет,0
754,можно ли китайский айфон прошить и поставить ос андроид?,да. в выборе оплаты.,0
755,так ты и не одна,а жаль,1
756,"почему кроме флагманов, почти все смартфоны неюзабельный хлам?",потому что ты слишком модный и презентабельный,1
757,у тебя свои губы?,"нет, у подруги позаимствовала на пару дней",1
758,кто знает. что сегодня на повестке дня?,а понедельник день тяжелый,0
759,а как тебя убить. нежжно и прятно?,"семья, муж, дети, работа-все это мне приносит счастье я счастлива. можете поздравить",0
760,легко общаетесь со всеми?,"с помощью силы желания, а работа тела и ума прилагается.",0
761,что вы всегда делаете на совесть?,всегда. без карамельки бон пари из дома не выхожу.,0
762,с какой разрешенной скоростью можно ехать на мотоцикле в городе?,какая позволена пдд такая же и для мотика и для пешехода в том числе.,1
763,"с новым мировым правопорядком, обозначенным путиным евросоюз вылезет из оков сша?",со временем все страны обретут свою независимость от сша.,1
764,какое место имеет секс в отношениях?,"всяк -наполненный сосуд. все и какают и ссут. секс в ряду стоит для нас, если есть к нему оргазм.",1
765,"а если мальчиг не понимает, как ему донести мысль. куда ему идти нужно?",скорее всего на хутор бабочек ловить. да дорога это больше мальчикам знакома.,1
766,зачем украинские олигархи объединяются и против кого?,"все на украине объединились со всеми против всех, короче путин виноват.",1
767,. все познается в сравнении? или есть исключения?,да есть чтобы что то знать вовсе не обязательно все на себе пробовать,1
768,угощайтесь,почему я прочитал карамельная киска? ? ?,0
769,глянь сериал  света с того света,а я смотрела,1
770,"у меня завтра экзамен по бюджетной системе рф, смогу ли я сдать с первого раза?","сдадите, но при условии, что будете максимально спокойной и уверенной.",1
771,"как же здорово,. просто человеческое общение и взаимопонимание?",да какое нах взаимопонимание. все ищут свою выгоду,1
772,что означает познать?,"наверное те, кто мертвы для мира сего, и учат тех, кто живет в мире этом.",0
773,"что бы вы делали без ответов, как жили бы без споров в категории религия?","занимаюсь чем могу я бы хотела жить на необитаемом острове, но не могу. ничего страшного.",0
774,"вы водку запиваете, заедаете или занюхиваете?",проще не употребляю.,1
775,так сиськами поздравлять надо ты чу,на др поздравлю,1
776,"поправляются ли от хлеба с семечками? я съел немного, но просто, это же смесь жиров с углеводами",и жиры и углеводы чудесны и важны для похудения,1
777,что по вашему мнению может объединять в дружбе мужчину и женщину?,общие интересы и взгляды на жизнь.,1
778,"без чего вы не можете представить свою жизнь? пк, телефон и т. д","без компа, без телефона, без семьи ну конечно же. а, да, и без хорошей сковороды",1
779,"горячая вода, к счастью, есть",холодной нет? ? ?,0
780,ахахах да,спокойной ночи,1
781,"как вам нравится, дверь открыта или дверь закрыта?","дверь, это путь к познаниям, потому открытая предпочтительней, познания идут со всех сторон.",1
782,можно ли на маскарад прийти в огуречной маске?,"конечно можно, лизнуть да и занюхать можно будет.",1
783,у меня уж овуляция скоро,ну часто бывает.,0
784,какой бланк нужен для отправки международной посылки помимо таможенной декларации?,"адресный, естественно. заполнить можно в электронном виде, можно в рукописном, на латинице.",1
785,а что ты вообще умеешь что ты знаешь,у меня есть целый список команд - достаточно нажать на кнопку со знаком вопроса,0
786,чем можно заболеть из-за сидячего образа жизни? болели ли вы чем-нибудь?,всем чем угодно кроме венерических болезней.,1
787,надо будет пойду,ну я тебя жду,1
788,на чем основана убежденность в антропоморфности христианского бога?,"на том, что люди создали бога по образу и подобию своему.",1
789,это где такая поздняя столовая,у нас столовая для первой смены с  до  для второй смены с  до  часов,1
790,алиночка это очень мало,так я же не пью лена. беременным и стаканчик выпить это хорошо.,1
791,а с чем бы любите блинчики кушать?,я сама теща и люблю зятя баловать блинами,0
792,какой срок обжалования действий должностных лиц в арбитражный суд?,"смотря каких, необходимо смотреть закон, которые регулирует обжалуемые правоотношения.",1
793,по какой причине слова могут с действиями не совпадать?,иногда от обстоятельств иногда от необязательности человека,1
794,"интересно, а от кого именно независимы теперь ю. осетия и абхазия?","их независимость означает, что от них самих ничего не зависит.",1
795,что для вас основа супа?,"и зарплата кака, и начальник кака, и все остальное кака. блин, я во что вляпался?",0
796,живу сейчас во франции а вообще родом из казахстана,что там делаешь,0
797,дамы когда вы видите красивого и статного мужчину им хочется любоваться,"однозначно!! мужчина статный, ухоженный и аккуратный всегда приковывает внимание женщин. особенно если он вежлив и умен, то смотришь на него как на небожителя в наше время если мужчина то с бутылкой пива, то в подпитии, то речь ведет уши вянут и когда появляется необычный экземпляр просто хочется его рассмотреть. он еще ничего не сделал просто с тобой общается, а ты глаза открыла и ждешь необычности. с тобой разговаривают нормально и уважительно и ощущаешь себя полноценным человеком и шутить хочется и быть милой потребность появляется.сегодня пришел специалист по ремонту труб я увидев его оторопела до чего хорош и статен.невольно сказала комплимент и мы проблему жкх решили быстро без окриков и обвинений. красота хоть женская хоть мужская она благотворно влияет на людей, она заставляе людей быть добрее!!",1
798,"кстат, ты там в талдыке?",нет. в астане,1
799,не смешно,бога нет,0
800,както не помужски.,,0
801,какой учитель лучше учит? черный или белый?,"короче, зависит от темперамента человека",0
802,тема дня на  октября: как вы относитесь к проституции?,прекрасно,0
803,у россии одни враги?,"и у россии, и самое страшное, что и в россии у власти тоже враги и вредители.",1
804,"я азиат, а мы молодо выглядим",вообще не плюс,1
805,"это лучше в гч какнить, тут долго писать","ой, сходим как  нить",0
806,"ой я хз, я уже  месяц не в украине",за немцем замужем?,0
807,быстро уговорили,"дим, эт ты у нас такой",0
808,"а еще, меня бесят идиоты",меня тоже,1
809,ты будешь там бегать в трусах и с мечом не хочу,я буду в штанах и с прохладными напитками :,0
810,что изучает морфология микроорганизмов?,изучение структуры микроорганизмов под микроскопом,1
811,почему даже ангелы бывают падшие?,"если есть деньги, значит есть и голова чтобы их заработать",0
812,"что значит жить, любить, дружить?",обычно знакомство начинается с легкого разговора не о чем.,0
813,. чем опасно молчание. женщины?,"мнение можно навязать извне, мышление идет изнутри",0
814,что вы ощущаете отказавшись от курения очень сильного психологического наркотика?,"да я вот почти отказался, я думаю это очень вредно, все болит от этих сигарет.",1
815,что такое общество,"ну, так, кое-что",0
816,как вы считаете. нужно покупать ребенку детское питание или лучше готовить самой?,лучше конечно готовить в самой,1
817,что собой представляет человек без мечты?,"то, что он есть и что он рядом. все привлекает. я же люблю его безумно лишь бы рядом был.",0
818,вопрос к студентам-медикам что такое топка?,только не в интимные места запах девушки это сказка,0
819,почему сша и европа так ненавидят сербов?,"славян мало кто любит, потому что у них сильна тяга к самоопределению и независимости.",1
820,"как можно вылечить желудок? наелась лапши быстро приг, посадила желудок, сильно болит",это не желудок лечит надо а поджелудочную железу,1
821,"как вы думаете, чем закончится вторая волна коронавируса и для чего ее создают?","окончательно добить тех, кто в первую волну выжил. а потом, по дешевке все скупить.",1
822,как вы думаете в чем отличие ума от разума?,ум опыт. разум здравый смысл использования опыта.,1
823,мой любимый размер.,pouringflame у тебя конкурент,1
824,сможет ли человек прожить без бога?,да. может. человек все свою жизнь живет без бога,1
825,испортил таки тебя релакс,ты испортила,1
826,можно ли по анализу крови определить есть ли у человека рак чего-либо вообще?,"по общему анализу крови можно заподозрить с этого и начинаем, потом дообседовать.",1
827,может ли дрочиво заменить секс?,при замене паспорта можно.,0
828,сколько может длиться влюбленность?,"влюбленность длится до тех пор пока не разбивается о стену проблем быт, лож, непонимание и т. п.",1
829,а пачему болит мозг,"мозг сам по себе лишен ноцицептивных тканей, и поэтому не может чувствовать боли.",1
830,ага есть такое,а тепер перейдемо до дупи.,1
831,у тебя припадки,правды не существует,0
832,в какую страну вы не поедите ни в коем случае?,"в россию, ибо я уже в этой стране",1
833,"а что лучше выбрить, лицо или мошенку?","жену нужно выбирать очень тщательно. если чего, потом хрен поменяешь без скандала.",0
834,жить надо как человек,"живу, имею ввиду что в рабочие дни меньше уставала",0
835,что означает слово путина?,"когда болеешь думаешь, как хорошо когда у тебя ни чего не болит.",0
836,"вы любите сказки, читать, слушать, рассказывать? не обязательно ребенку","люблю, ведь сказка должна всегда жить в человеке независимо от возраста.",1
837,часто ли вы действуете от противного и выигрываете?,"люблю фотографироваться, но в меру",0
838,"мужчины, вам можно верить и почему?",фиолетовый. потому что необычный и редкий.,0
839,"что ты скажешь, если я попрошу выйти тебя за меня замуж?","откажусь. но как можно выйти замуж за человека, который позиционирует себя женщиной?",1
840,https:youtu.bewgjhdnpsq,bad apple кто знает песню?,0
841,я те грил шо карту нашел,ну. так и не позвонили?,0
842,как научиться круто мыслить?,"зачем она вам? влюбленность придет сома, найти такого человека и будешь влюблена.",0
843,"так и есть, я ничего не вижу",рад за тебя,1
844,это не правда что помогает,no shit sherlock конечно нет,1
845,какие моменты в жизни. особенно тягостны?,пустой холодильник или плохой характер выбирайте,0
846,как женщине правильно культивировать женскую энергию?,проводить больше времени среди мужчин,1
847,сколько раз вам нужно сделать больно. чтобы вы потеряли чувствительность?,"ты ж мне обящал, че не пьешь ужо? мож так попробуем?",0
848,"какая краска подходит для пластика? если точнее, какуй краской можно красить пластиковые бутылки?",более просто использовать акриловые краски.,1
849,вы любите баню?,"не люблю сражаться. борьбу, войны, ругать. это все не мое. я лучше уступлю",0
850,"россияне, назовите русских славян правителей на руси?",на руси и на москве все рюриковичи были русами.,1
851,"никто не может сказать точно, что тако зло",секс - это очень приятно,0
852,самое лутше это плов с казы,"разве можно так беременную женщину дразнить, которая давно нормальную еду приготовить не может",0
853,для чего нужны мобы в игре?,мобы дают прекрасную возможность развиваться более слабым игрокам.,1
854,если человек считает себя богом значит он дурак?,"ну почему. все любят иногда побыть в одиночестве, просто кто чаще, кто реже.",0
855,"как выживают люди, у которых нет верных друзей?",умные. или сложнохарактерные чтобы одним словом,0
856,а много денег человеку бог посылает? или деньгами его противник распоряжается? как к богатым правильно относиться?,"главное не завидовать, один хрен все относительно.",1
857,"какое лучше вино, белое или красное?",если заработали свои миллионы честно уважаю.,0
858,"как вы думаете, загар в период беременности вреден для здоровья?","если загорать без меры, то да. а прогуляться в солнечный день, что может быть лучше?",1
859,очень красивые фотки в стограме,где посмотреть?,0
860,как подружиться с девушками?,сначала заинтересовать ее. выявить общность интересов. все остальное пойдет само собой.,1
861,"ну восстанавливается потихоньку. вот поел на ужин риса с печенной рыбой, яйцо вареное, чай, хурма и персик.",а я не знаю что хочу,1
862,"а если мужчине все равно, что мне подарить. можно его попросить вымыть все окна в доме?",а у меня их моет не для подарка а просто так,1
863,как в рф осуществляется связь между народом и властью?,"через силовые структуры и тоталитарные законы, вероятно.",1
864,чем отличается характер от. души?,"фантазия, когда о чем-то мечтаешь. бред когда расказываешь о чем мечтал.",0
865,как вы понимаете выражение рай в душе?,когда мы за рулем - это наши враги. а когда сами пешеходы - сколько же козлов за рулем.,0
866,каким иностранным языком вы владеете?,"ну, иностранный для меня русский, родной грузинский. еще испанский и английский.",1
867,"если аборт убийство, то минет людоедство?",перестать травить себя пивом. минералка чем хуже?,0
868,что для вас важнее телевизор или холодильник?,"холодильник. там меньше мусора, чем в телеке.",1
869,что вы спокойно переносите? почему как считаете?,"спокойствие, только спокойствие, ерунда, дело житейское.",0
870,"я думаю, ты поняла о чем я.",уже не послушал,0
871,а какую терку взять чтоб ему все оттереть?,"бери топор, меньше возни",1
872,а ты чего?,мы с тобой маленькие,0
873,что вы тут?,"да блин они уже не дети, можно и сматюгать",0
874,пересдавать гиа сложно или нет по математике?,"если есть базовые знания, то не сложно. а, если нет ничего, то, думаю, будет сложновато.",1
875,"ты не в моей, вот и бесишься","да, бешусь",1
876,нууу итакой не был и вовсе?,истребитель танков.,0
877,а есть кто подходит?,ну кто то да есть,1
878,в ноябре будет,"а, ну это меняет дело",0
879,у меня тоже дедлайны горят ,"у меня не горят, но людей бить приходится",1
880,"какого цвета хамелеон, когда он смотрится в зеркало?",зеленого. это же вроде бы его естественный цвет.,1
881,"как-узнать, что у тебя болят почки?",сдать анализ мочи,1
882,кем быть лучше? сильным или умным? и почему?,умным так как сила ума важнее,1
883,что нужно сделать чтобы мозги заработали?,"а добро оно бескорыстное, поэтому и нечего от него чего то ждать.",0
884,какие качества вы цените в женщине?,"нежность, женственность, незлобивость и целомудрие.",1
885,"я его спрашиваю, а нахрен я ей нужен, она вон какая крутая, все при себе.","а чего спрашивать то, брать надо",1
886,"сочувствую, я вообще часа два поспала",потом тошнить начало,1
887,как забрать сапоги если в них мусор?,"а никак. если за уши вцепится, даже вытрясти не получится. да пусть сапоги с мусором живут",1
888,а к вам нужен особый подход. и с какой стороны интересно?,меня устраивают всесторонние подходы-лишь бы в резонанс,1
889,как правильнее вести при ядерной войне спрятаться в подвал и медленно умирать или выйти на улицу и умереть мгновенно?,завернуться в простынь и медленно двигаться к кладбищу.,1
890,я же с вредной общаюсь еще с утки,ты видать и есть тот третий сапог тупой,0
891,как попасть на службу в спецназ гру?,догнать и познать,0
892,"на бп топовом нет доп питания cpu, что делать?","да у меня почти у всех знакомых уже автомат, а я все на механике",0
893,как добиться регулярных месячных без задержек? что принимать?,"что гинеколог скажет, то и принимать. причину тоже должен врач определять.",1
894,для вас уход за собой это работа или хобби?,хорошее дело браком не назовут,0
895,"как вы относитесь к ношению бороды верующими? как лев без гривы это львица, так и мужик без бороды-девица","лучше всего в горшке подарить, чем над цветами издеваться.",0
896,"ему делать мне замечание, а не тебе",корона не жмет?,0
897,а голые биокарлики?,этим меня все еще можно удивить,1
898,а к чему ревновать то,я уже видел,0
899,почему мужчины так боятся влюбиться по настоящему?,"боятся зависимости от чувства. они же такие нежные, ранимые",1
900,а када у вас ночью за стенкой ох и ах. вы в стенку стучите. вам завидно?,"не бывает слышно охов, если и услышу, стучать не буду, не завидно",1
901,"как бы так есть вкусно, но не толстеть?","вкусно и не толстеть, это дорого.",1
902,у кого дружба крепче у женщин или мужчин?,длина одинаковая. а вот гуще у джинна.,0
903,"а что будет делать блондинка, если цвет ее авто не совпал с цветом лака ногтей?","уйти раньше, но с уверенностью, что попадешь туда еще раз.",0
904,какого цвета равнодушие?,сидеть весь день на ответах,0
905,"да, вкусный","надо завтра взять тож. не сладкий, такой прикольный",1
906,так а нахуя выходить вообще.,"я тоже выходила, и мне сняли ограничения",1
907,люди с похожими характерами долго живут вместе почему,"это говорит о том, что муж и жена либо притираются друг к другу и со временем становятся похожими по характеру, либо они изначально должны быть похожи.",1
908,а в чем мудрость мужчины?,а оно тебе надо? ты вроде симпатичная. наверняка сможешь и с ведома найти.,0
909,"кто считал что жизнь вредна, а потом изменил свое мнение. почему?",эм. вредна в смысле от нее умирают? ну так этот факт еще никому не удалось отменить,1
910,"ну смотри, например родит те будет , в школу пойдет ребенок, те будет",станет старостой на родительских собраниях гг,1
911,кто желает со мной на недельку в кардиологию отдохнуть? одной скучно,"отдохнуть не получится, будем сердечную мышцу в тонус приводить.",1
912,"сегодня день здоровья, зарядку хоть сделали?",от почти кажный вечер грю себе завтра начну с легкой гимнастики. а утром как обычно.,1
913,"какаши, не приставай",тыкрасотамур мяфка,0
914,я помогу,поздравляю,0
915,как изменить логин?,мой мир. настроить фото. выбрать из альбома,0
916,почему восточные варвары не приняли демократических ценностей бонапарта?,"когда демократию насаждают насильно, это нигде и никогда ни разу не увенчалось успехом.",1
917,я думала она такая же как и я,"я думал, что она лучше, но хуй там. так что пошел вспоминать твою фотку",1
918,"у кого в моче быди эритроциты, опасно ли это?",плохо. кровь в моче-эт проблемы с мочеполовой сыстемой.,1
919,"я пока сюда скину, но могу поставить хеш фото","оке, если в канал не надо то не надо",0
920,а может ли большое количество цифровых каналов в телевизоре влиять на скорость его реагирования на команды с пульта?,батарейки поменяй для началу в пультэ,1
921,возможно ли в нашей жизни любить человека совершенной любовью агапи? ваше мнение,"я полюбила но к сожалению он далеко, незнаю летом еду к нему",0
922,иксия осень. при выкопке вижу от луковиц отходят белые толстенькие клубеньки как у георгин. что это. их удалять?,"детки, я удаляла, у меня очень маленькие, пока вырастут пройдет пара тройка лет",1
923,"здесь демократия, большинству эта идея не зашла",ясна понятно жополизания иными словами,1
924,"как поздравить тетю с рождением ребенка че сказать, что написать, что подарить?","на рождение ребенка дарят. все, что имеет к нему отношение, обычнои цветы.",1
925,китай заболел самоубийством. что дальше будет?,китай не будет самой населенной страной,1
926,знание законов природы освобождает от алиментов?,"скорее предупреждает об опасности возникновения ситуаций, чреватых алиментами.",1
927,"все украинцы у, кого родственники проживают в россии, потенциальные агенты кремля и стоят на особом учете в сбу?",петька и вовсе на учете у нарколога состоит. зато хохлам там страшно весело,1
928,вы любите рыбу? как часто покупаете?,"люблю, еще люблю бухать бухашку и курить куришку",0
929,что лучше очки или линзы?,"если для работы и т. п то линзы, а дома в очках удобней.",1
930,"а вы часто понты давите? если да, то перед кем и зачем?","только когда доведут, а так стараюсь быть сильной",0
931,арбуз или дыня? что вкуснее?,арбуз хотя кому как,1
932,могут ли быть феноменальные способности без таланта?,да феномен это не обязательно что то полезное и нужное,1
933,"если бы люди прекратили любить и верить в бога, то бог бы перестал существовать?","если мы перестанем смотреть на солнце и верить в то, что оно завтра взойдет, оно, что исчезнет?",1
934,почему все люди не могут быть вместе?,по определению. п. с. я атеист,0
935,а то шо?,"а то придется вас рассадить, как в школе",1
936,что такое семья? почему она держится?,мне когда страстно захочется покушать. эх не стану выражаться.,0
937,что такое messagebox,дословно - коробка сообщений,1
938,а что делать если муха утонула в пиве?,выпить и закусить. мухой.,1
939,что есть хуй,хуй это подарок,1
940,могу пожелать удачи только,спасибо,0
941,зачем. познакомимся,а ты,0
942,"я даже не пробовала, только из охотничьих ружей","это другое. я сегодня как раз ездил, неплохо пострелял.",0
943,от олеся вериго:конечно такой интересный. это ты у нас работаешь и имеешь постоянный доход.,хехехе.,0
944,"будет ли у меня в жизни любовь настоящяя? и любит ли меня парень о ком думаб, леша?","парень уважает, влюбленность есть но не долгая. любовь настоящая будет и сразу замужество.",1
945,"волнистый попугайчик очень активно линяет. это нормально? весной понятно, летом линял. они что круглый год линяют?",мой вообще каждый месяц линяет,1
946,чем температуру сбивать если держиться долго?,жидким азотом,1
947,"я помню, что мы не друзья, не ссы",и я помню.,0
948,является ли библия словом бога?,библия это святые писания. заповеди вот слово бога,1
949,город засыпает,на этом закончим,0
950,как правильнее всего хранить верность?,тренируй дух и сухожилия укрепятся.,0
951,"че нужно сделать с женщиной, что бы она не скучала?","пропускать занятия хамить преподавателям, декану забивать на учебу",0
952,"по какому телефону надо звонить, чтобы желания исполнились?","не звони никуда, римский, хуже будет. поосторожнее с желаниями,",1
953,"я плохо знаю бурятский, мой первый и родной язык  русский",фуууу. ты не знаешь родной язык. ты безотвественная,1
954,сам как?,лежу. дел куча. а я лежу,0
955,станцуй,танцевать я не умею,1
956,кто людям нужней хирург или стоматолог?,"мне кажется, что оба этих парня хоть куда, одинаково достойны компании малыша.",0
957,протестантизм более логичен?,"конечно. иисус обещал свободу, в том числе и от религиозной власти",1
958,он как бы смесь среднего и тяжелого танка,"вообще, исторически это прототип ис",1
959,почему девки не дают?,умению прогибаться в силу анатомических особенностей натуры,0
960,а вы спокойно спите или деретесь во сне?,"дерусь. и если кто то рядом спит, всегда скидываю на пол",1
961,надеюсь не на нее,в туалет хахаха,0
962,а я не хочу в туалет,а чего ты хочешь,1
963,на чем зиждется уверенность верующих в правильности трактовок переносного смысла во всяких священных писаниях?,на мнении их религиозных авторитетов.,1
964,"маги, а, вот, вдова это карьера женщины или пока просто технический вопрос?","мне кажется, что это звание дополняется недюжинной силой. может и не совсем как карьера звучит.",1
965,а вам во сне когда нибудь хотелось спать?,хорошая одежда. прочная. качественная. носим с удовольствием,0
966,"любовь помогает убить время, время помогает убить любовь","любовь нельзя убить. просто становится не так больно. раны заживают, рубцы остаются.",1
967,"есть ли что-то такое, что вы хотели бы потерять навсегда? или кого-то?",и я интересуюсь кое-что получается,0
968,чо делать если пароль скомпромпроментирован?,"а если жидкость в коленах, это не хорошо, вродь",0
969,на что смотрят мужчины ясно а вот что женщины оценивают в мужчинах,"внешность. состоятельность. те качества характера, которые важны и значимы для данной женщины. короче оценивают как не продешевить продав себя теловладельцу",1
970,можно ли перекисью водорода протирать золотые серьги с брильянтом?,"и при язве едят, только без перца",0
971,а самолетом в ленинград обязательно через баню лететь?,"главное пиво с водкой взять, а там разберемся, через баню или за свежим пивом в алма-аты.",1
972,мне кажется все универсальное,и то верно,1
973,"а ты, ум, честь или совесть нации?","просто леди-с честью, совестью. а умна я или нет-пусть другие скажут",1
974,это вторжение. повторяю. понимаешь чем это пахнет?,это пахнет предательством генералитета,1
975,кто твой разработчик и как его зовут,меня создали иван и олег,1
976,бейсболка круче,несомненно,0
977,а ты как-нибудь связан с миром искусства,"да, я причисляю себя к тем, кто называет себя людьми искусства",1
978,не сомневаюсь,я ща еще скину и в спортзал пофеярю,0
979,кем работать с туристическим образованием?,"кроме, интернета, где деньгами, все-же, нужно спонсировать общественное мнение",0
980,"ночью долго не спал. думал. интересно, если одновременно съесть таблетки от запора и от поноса, то кто победит?",кишечник взорвется просто.,1
981,"хихи, ну удачи",давно тебя не видалкакие успехи?,1
982,вредно ли заводить машину ключом зажигания?,"на машине даже ездить вредно, она же изнащивается",1
983,"ты что, то же слушаешь pink floyd",что такое pink floyd,1
984,"нихуя не понятно, так отрывками только",а оно надо?,1
985,можно ли получать энергию от удара молнии?,"осветить можно чем угодно. любым источником света. лампочкой, фонариком.",0
986,"ваши любовники, вам изменяют?",нет ни измен ни любовников. не знаю огорчаться или радоваться по этому поводу,1
987,как прикинуться шизой? что надо для этого говорить врачу?,"никак, написаное человеком не может быть от бога",0
988,как человеку спасти самого себя от глупости?,"рассуждая о вечности, надо следить, чтобы молоко не сбежало",0
989,"нравится ли нам, молодому поколению, старая музыка. как вам ю. антонов?",это музыка на все времена. очень нравится.,1
